Day,Start Hour,Impressions
Sunday,12 AM,194
Sunday,1 AM,160
Sunday,2 AM,125
Sunday,3 AM,135
Sunday,4 AM,55
Sunday,5 AM,113
Sunday,6 AM,131
Sunday,7 AM,166
Sunday,8 AM,298
Sunday,9 AM,623
Sunday,10 AM,465
Sunday,11 AM,236
Sunday,12 PM,0
Sunday,1 PM,0
Sunday,2 PM,0
Sunday,3 PM,0
Sunday,4 PM,0
Sunday,5 PM,0
Sunday,6 PM,0
Sunday,7 PM,0
Sunday,8 PM,0
Sunday,9 PM,1
Sunday,10 PM,17
Sunday,11 PM,7
Monday,12 AM,5
Monday,1 AM,2
Monday,2 AM,4
Monday,3 AM,1
Monday,4 AM,0
Monday,5 AM,8
Monday,6 AM,14
Monday,7 AM,26
Monday,8 AM,37
Monday,9 AM,64
Monday,10 AM,88
Monday,11 AM,70
Monday,12 PM,142
Monday,1 PM,131
Monday,2 PM,89
Monday,3 PM,87
Monday,4 PM,112
Monday,5 PM,110
Monday,6 PM,82
Monday,7 PM,115
Monday,8 PM,91
Monday,9 PM,149
Monday,10 PM,155
Monday,11 PM,110
Tuesday,12 AM,104
Tuesday,1 AM,75
Tuesday,2 AM,23
Tuesday,3 AM,28
Tuesday,4 AM,33
Tuesday,5 AM,41
Tuesday,6 AM,84
Tuesday,7 AM,212
Tuesday,8 AM,245
Tuesday,9 AM,386
Tuesday,10 AM,528
Tuesday,11 AM,869
Tuesday,12 PM,815
Tuesday,1 PM,"1,164"
Tuesday,2 PM,"1,175"
Tuesday,3 PM,"1,111"
Tuesday,4 PM,"1,139"
Tuesday,5 PM,"1,130"
Tuesday,6 PM,"1,193"
Tuesday,7 PM,"1,026"
Tuesday,8 PM,"1,083"
Tuesday,9 PM,"1,228"
Tuesday,10 PM,824
Tuesday,11 PM,610
Wednesday,12 AM,357
Wednesday,1 AM,240
Wednesday,2 AM,159
Wednesday,3 AM,114
Wednesday,4 AM,100
Wednesday,5 AM,224
Wednesday,6 AM,365
Wednesday,7 AM,480
Wednesday,8 AM,766
Wednesday,9 AM,798
Wednesday,10 AM,"1,055"
Wednesday,11 AM,"1,139"
Wednesday,12 PM,"1,247"
Wednesday,1 PM,"1,289"
Wednesday,2 PM,"1,263"
Wednesday,3 PM,"1,274"
Wednesday,4 PM,"1,481"
Wednesday,5 PM,"1,638"
Wednesday,6 PM,"1,507"
Wednesday,7 PM,"1,132"
Wednesday,8 PM,"1,211"
Wednesday,9 PM,"1,158"
Wednesday,10 PM,959
Wednesday,11 PM,682
Thursday,12 AM,316
Thursday,1 AM,213
Thursday,2 AM,188
Thursday,3 AM,132
Thursday,4 AM,135
Thursday,5 AM,220
Thursday,6 AM,295
Thursday,7 AM,502
Thursday,8 AM,743
Thursday,9 AM,864
Thursday,10 AM,"1,262"
Thursday,11 AM,"1,481"
Thursday,12 PM,"1,498"
Thursday,1 PM,"1,506"
Thursday,2 PM,"1,235"
Thursday,3 PM,"1,359"
Thursday,4 PM,"1,296"
Thursday,5 PM,"1,465"
Thursday,6 PM,"1,491"
Thursday,7 PM,"1,036"
Thursday,8 PM,"1,208"
Thursday,9 PM,"1,189"
Thursday,10 PM,"1,078"
Thursday,11 PM,597
Friday,12 AM,412
Friday,1 AM,248
Friday,2 AM,169
Friday,3 AM,106
Friday,4 AM,89
Friday,5 AM,247
Friday,6 AM,330
Friday,7 AM,423
Friday,8 AM,670
Friday,9 AM,846
Friday,10 AM,865
Friday,11 AM,"1,082"
Friday,12 PM,914
Friday,1 PM,935
Friday,2 PM,927
Friday,3 PM,783
Friday,4 PM,862
Friday,5 PM,858
Friday,6 PM,919
Friday,7 PM,971
Friday,8 PM,"1,049"
Friday,9 PM,"1,024"
Friday,10 PM,822
Friday,11 PM,558
Saturday,12 AM,449
Saturday,1 AM,280
Saturday,2 AM,209
Saturday,3 AM,163
Saturday,4 AM,75
Saturday,5 AM,118
Saturday,6 AM,218
Saturday,7 AM,358
Saturday,8 AM,655
Saturday,9 AM,"1,056"
Saturday,10 AM,865
Saturday,11 AM,"1,016"
Saturday,12 PM,683
Saturday,1 PM,741
Saturday,2 PM,610
Saturday,3 PM,836
Saturday,4 PM,605
Saturday,5 PM,640
Saturday,6 PM,684
Saturday,7 PM,537
Saturday,8 PM,494
Saturday,9 PM,509
Saturday,10 PM,526
Saturday,11 PM,443
